================================================== ====================
Name                                               RGB value
================================================== ====================
red                                                ff/00/00
red4                                               8b/00/00
red3                                               cd/00/00
red2                                               ee/00/00
red1                                               ff/00/00
gold                                               ff/d7/00
grey4                                              0a/0a/0a
grey3                                              08/08/08
grey2                                              05/05/05
grey1                                              03/03/03
gray4                                              0a/0a/0a
gray3                                              08/08/08
snow4                                              8b/89/89
snow3                                              cd/c9/c9
gray2                                              05/05/05
gray1                                              03/03/03
snow2                                              ee/e9/e9
snow1                                              ff/fa/fa
gold4                                              8b/75/00
gold3                                              cd/ad/00
blue                                               00/00/ff
gold2                                              ee/c9/00
gold1                                              ff/d7/00
grey44                                             70/70/70
grey34                                             57/57/57
grey43                                             6e/6e/6e
grey33                                             54/54/54
grey24                                             3d/3d/3d
grey14                                             24/24/24
grey23                                             3b/3b/3b
grey13                                             21/21/21
grey42                                             6b/6b/6b
grey32                                             52/52/52
grey41                                             69/69/69
grey31                                             4f/4f/4f
grey22                                             38/38/38
grey12                                             1f/1f/1f
grey21                                             36/36/36
grey11                                             1c/1c/1c
gray44                                             70/70/70
gray34                                             57/57/57
gray43                                             6e/6e/6e
gray33                                             54/54/54
gray24                                             3d/3d/3d
gray14                                             24/24/24
gray23                                             3b/3b/3b
gray13                                             21/21/21
gray42                                             6b/6b/6b
gray32                                             52/52/52
gray41                                             69/69/69
gray31                                             4f/4f/4f
gray22                                             38/38/38
gray12                                             1f/1f/1f
gray21                                             36/36/36
gray11                                             1c/1c/1c
green                                              00/ff/00
orange                                             ff/a5/00
blue4                                              00/00/8b
blue3                                              00/00/cd
azure                                              f0/ff/ff
blue2                                              00/00/ee
green4                                             00/8b/00
blue1                                              00/00/ff
green3                                             00/cd/00
green2                                             00/ee/00
green1                                             00/ff/00
darkred                                            8b/00/00
brown                                              a5/2a/2a
tan4                                               8b/5a/2b
tan3                                               cd/85/3f
grey                                               be/be/be
tan2                                               ee/9a/49
tan1                                               ff/a5/4f
brown4                                             8b/23/23
sienna                                             a0/52/2d
brown3                                             cd/33/33
brown2                                             ee/3b/3b
gray                                               be/be/be
brown1                                             ff/40/40
orange4                                            8b/5a/00
bisque                                             ff/e4/c4
orange3                                            cd/85/00
azure4                                             83/8b/8b
azure3                                             c1/cd/cd
orange2                                            ee/9a/00
orange1                                            ff/a5/00
azure2                                             e0/ee/ee
azure1                                             f0/ff/ff
linen                                              fa/f0/e6
tan                                                d2/b4/8c
peru                                               cd/85/3f
sienna4                                            8b/47/26
sienna3                                            cd/68/39
sienna2                                            ee/79/42
sienna1                                            ff/82/47
pink4                                              8b/63/6c
pink3                                              cd/91/9e
salmon                                             fa/80/72
pink2                                              ee/a9/b8
pink1                                              ff/b5/c5
bisque4                                            8b/7d/6b
salmon4                                            8b/4c/39
bisque3                                            cd/b7/9e
salmon3                                            cd/70/54
bisque2                                            ee/d5/b7
salmon2                                            ee/82/62
bisque1                                            ff/e4/c4
salmon1                                            ff/8c/69
plum4                                              8b/66/8b
plum3                                              cd/96/cd
purple                                             a0/20/f0
plum2                                              ee/ae/ee
plum1                                              ff/bb/ff
orangered                                          ff/45/00
orangered4                                         8b/25/00
orangered3                                         cd/37/00
orangered2                                         ee/40/00
orangered1                                         ff/45/00
seagreen                                           2e/8b/57
seagreen4                                          2e/8b/57
purple4                                            55/1a/8b
seagreen3                                          43/cd/80
purple3                                            7d/26/cd
darkblue                                           00/00/8b
seagreen2                                          4e/ee/94
purple2                                            91/2c/ee
seagreen1                                          54/ff/9f
purple1                                            9b/30/ff
debianred                                          d7/07/51
darkorange                                         ff/8c/00
darkorange4                                        8b/45/00
darkorange3                                        cd/66/00
darkorange2                                        ee/76/00
darkorange1                                        ff/7f/00
darkgreen                                          00/64/00
springgreen                                        00/ff/7f
goldenrod                                          da/a5/20
goldenrod4                                         8b/69/14
goldenrod3                                         cd/9b/1d
goldenrod2                                         ee/b4/22
goldenrod1                                         ff/c1/25
springgreen4                                       00/8b/45
sea green                                          2e/8b/57
springgreen3                                       00/cd/66
saddlebrown                                        8b/45/13
springgreen2                                       00/ee/76
springgreen1                                       00/ff/7f
dodgerblue                                         1e/90/ff
dodgerblue4                                        10/4e/8b
dodgerblue3                                        18/74/cd
dodgerblue2                                        1c/86/ee
dodgerblue1                                        1e/90/ff
slateblue                                          6a/5a/cd
slateblue4                                         47/3c/8b
slateblue3                                         69/59/cd
slateblue2                                         7a/67/ee
slateblue1                                         83/6f/ff
steelblue                                          46/82/b4
steelblue4                                         36/64/8b
steelblue3                                         4f/94/cd
steelblue2                                         5c/ac/ee
steelblue1                                         63/b8/ff
darkseagreen                                       8f/bc/8f
maroon                                             b0/30/60
plum                                               dd/a0/dd
darkseagreen4                                      69/8b/69
skyblue                                            87/ce/eb
darkseagreen3                                      9b/cd/9b
maroon4                                            8b/1c/62
darkgoldenrod                                      b8/86/0b
maroon3                                            cd/29/90
darkseagreen2                                      b4/ee/b4
darkseagreen1                                      c1/ff/c1
maroon2                                            ee/30/a7
maroon1                                            ff/34/b3
lightgreen                                         90/ee/90
slategray4                                         6c/7b/8b
slategray3                                         9f/b6/cd
forestgreen                                        22/8b/22
slategray2                                         b9/d3/ee
slategray1                                         c6/e2/ff
palegreen4                                         54/8b/54
palegreen3                                         7c/cd/7c
palegreen2                                         90/ee/90
palegreen1                                         9a/ff/9a
skyblue4                                           4a/70/8b
skyblue3                                           6c/a6/cd
darkgoldenrod4                                     8b/65/08
darkgoldenrod3                                     cd/95/0c
skyblue2                                           7e/c0/ee
skyblue1                                           87/ce/ff
sky blue                                           87/ce/eb
darkgoldenrod2                                     ee/ad/0e
darkgoldenrod1                                     ff/b9/0f
palegreen                                          98/fb/98
dark red                                           8b/00/00
lightblue                                          ad/d8/e6
lightblue4                                         68/83/8b
lightblue3                                         9a/c0/cd
lightblue2                                         b2/df/ee
lightblue1                                         bf/ef/ff
beige                                              f5/f5/dc
darkgrey                                           a9/a9/a9
darkmagenta                                        8b/00/8b
darkgray                                           a9/a9/a9
magenta                                            ff/00/ff
cyan                                               00/ff/ff
royalblue                                          41/69/e1
royalblue4                                         27/40/8b
royalblue3                                         3a/5f/cd
royalblue2                                         43/6e/ee
royalblue1                                         48/76/ff
darksalmon                                         e9/96/7a
cyan4                                              00/8b/8b
cyan3                                              00/cd/cd
limegreen                                          32/cd/32
cyan2                                              00/ee/ee
cyan1                                              00/ff/ff
palegoldenrod                                      ee/e8/aa
orange red                                         ff/45/00
seashell                                           ff/f5/ee
tomato                                             ff/63/47
magenta4                                           8b/00/8b
dodger blue                                        1e/90/ff
magenta3                                           cd/00/cd
dark green                                         00/64/00
darkslateblue                                      48/3d/8b
magenta2                                           ee/00/ee
magenta1                                           ff/00/ff
slategrey                                          70/80/90
lightseagreen                                      20/b2/aa
coral                                              ff/7f/50
seashell4                                          8b/86/82
seashell3                                          cd/c5/bf
slategray                                          70/80/90
seashell2                                          ee/e5/de
seashell1                                          ff/f5/ee
lightgoldenrod                                     ee/dd/82
tomato4                                            8b/36/26
tomato3                                            cd/4f/39
dark orange                                        ff/8c/00
tomato2                                            ee/5c/42
tomato1                                            ff/63/47
coral4                                             8b/3e/2f
coral3                                             cd/5b/45
coral2                                             ee/6a/50
coral1                                             ff/72/56
mistyrose                                          ff/e4/e1
mistyrose4                                         8b/7d/7b
mistyrose3                                         cd/b7/b5
mistyrose2                                         ee/d5/d2
mistyrose1                                         ff/e4/e1
dark blue                                          00/00/8b
snow                                               ff/fa/fa
lightgoldenrod4                                    8b/81/4c
lightgoldenrod3                                    cd/be/70
lightyellow4                                       8b/8b/7a
slate blue                                         6a/5a/cd
lightyellow3                                       cd/cd/b4
lightgoldenrod2                                    ee/dc/82
lightgoldenrod1                                    ff/ec/8b
lightyellow2                                       ee/ee/d1
lightyellow1                                       ff/ff/e0
oldlace                                            fd/f5/e6
pink                                               ff/c0/cb
steel blue                                         46/82/b4
dimgrey                                            69/69/69
lightsalmon                                        ff/a0/7a
darkturquoise                                      00/ce/d1
dimgray                                            69/69/69
lightsalmon4                                       8b/57/42
lightsalmon3                                       cd/81/62
lightsalmon2                                       ee/95/72
lightsalmon1                                       ff/a0/7a
saddle brown                                       8b/45/13
spring green                                       00/ff/7f
slate grey                                         70/80/90
lightgrey                                          d3/d3/d3
light green                                        90/ee/90
dim grey                                           69/69/69
slate gray                                         70/80/90
lightgray                                          d3/d3/d3
ivory4                                             8b/8b/83
pale green                                         98/fb/98
ivory3                                             cd/cd/c1
darkslategray4                                     52/8b/8b
darkslategray3                                     79/cd/cd
ivory2                                             ee/ee/e0
dim gray                                           69/69/69
ivory1                                             ff/ff/f0
darkslategray2                                     8d/ee/ee
darkslategray1                                     97/ff/ff
old lace                                           fd/f5/e6
olivedrab4                                         69/8b/22
olivedrab3                                         9a/cd/32
dark goldenrod                                     b8/86/0b
olivedrab2                                         b3/ee/3a
olivedrab1                                         c0/ff/3e
olivedrab                                          6b/8e/23
indianred                                          cd/5c/5c
indianred4                                         8b/3a/3a
indianred3                                         cd/55/55
lightsteelblue                                     b0/c4/de
indianred2                                         ee/63/63
indianred1                                         ff/6a/6a
grey94                                             f0/f0/f0
gainsboro                                          dc/dc/dc
grey93                                             ed/ed/ed
grey92                                             eb/eb/eb
grey84                                             d6/d6/d6
grey91                                             e8/e8/e8
grey83                                             d4/d4/d4
grey74                                             bd/bd/bd
grey73                                             ba/ba/ba
gray94                                             f0/f0/f0
grey82                                             d1/d1/d1
gray93                                             ed/ed/ed
grey81                                             cf/cf/cf
grey72                                             b8/b8/b8
grey71                                             b5/b5/b5
gray92                                             eb/eb/eb
gray84                                             d6/d6/d6
gray91                                             e8/e8/e8
gray83                                             d4/d4/d4
gray74                                             bd/bd/bd
light blue                                         ad/d8/e6
gray73                                             ba/ba/ba
gray82                                             d1/d1/d1
gray81                                             cf/cf/cf
gray72                                             b8/b8/b8
gray71                                             b5/b5/b5
lightslateblue                                     84/70/ff
sandy brown                                        f4/a4/60
lime green                                         32/cd/32
lightsteelblue4                                    6e/7b/8b
lightsteelblue3                                    a2/b5/cd
lightsteelblue2                                    bc/d2/ee
forest green                                       22/8b/22
lightsteelblue1                                    ca/e1/ff
dark salmon                                        e9/96/7a
grey64                                             a3/a3/a3
aliceblue                                          f0/f8/ff
grey63                                             a1/a1/a1
darkslategrey                                      2f/4f/4f
grey62                                             9e/9e/9e
royal blue                                         41/69/e1
grey61                                             9c/9c/9c
paleturquoise                                      af/ee/ee
dark magenta                                       8b/00/8b
mediumblue                                         00/00/cd
gray64                                             a3/a3/a3
gray63                                             a1/a1/a1
ivory                                              ff/ff/f0
light grey                                         d3/d3/d3
darkslategray                                      2f/4f/4f
gray62                                             9e/9e/9e
gray61                                             9c/9c/9c
wheat4                                             8b/7e/66
wheat3                                             cd/ba/96
light salmon                                       ff/a0/7a
grey54                                             8a/8a/8a
grey53                                             87/87/87
wheat2                                             ee/d8/ae
light gray                                         d3/d3/d3
wheat1                                             ff/e7/ba
dark grey                                          a9/a9/a9
grey52                                             85/85/85
grey51                                             82/82/82
thistle                                            d8/bf/d8
gray54                                             8a/8a/8a
gray53                                             87/87/87
dark gray                                          a9/a9/a9
gray52                                             85/85/85
gray51                                             82/82/82
paleturquoise4                                     66/8b/8b
paleturquoise3                                     96/cd/cd
paleturquoise2                                     ae/ee/ee
paleturquoise1                                     bb/ff/ff
pale goldenrod                                     ee/e8/aa
turquoise                                          40/e0/d0
turquoise4                                         00/86/8b
turquoise3                                         00/c5/cd
